ERROR:root: id=9153抓取user时发生错误2016-05-10 23:26:39 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473357
ERROR:root: id=7162抓取user时发生错误2016-05-10 23:26:40 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/385486
ERROR:root: id=12153抓取user时发生错误2016-05-10 23:26:40 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/578437
ERROR:root: id=30034抓取user时发生错误2016-05-10 23:26:41 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1239178
ERROR:root: id=20060抓取user时发生错误2016-05-10 23:26:41 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/893102
ERROR:root: id=31033抓取user时发生错误2016-05-10 23:26:41 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1279311
ERROR:root: id=14133抓取user时发生错误2016-05-10 23:26:41 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/656934
ERROR:root: id=16062抓取user时发生错误2016-05-10 23:26:42 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/738565
ERROR:root: id=21064抓取user时发生错误2016-05-10 23:26:42 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/933161
ERROR:root: id=36039抓取user时发生错误2016-05-10 23:26:42 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1491215
ERROR:root: id=22057抓取user时发生错误2016-05-10 23:26:42 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/970787
ERROR:root: id=18060抓取user时发生错误2016-05-10 23:26:42 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/818347
ERROR:root: id=11162抓取user时发生错误2016-05-10 23:26:42 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/541784
ERROR:root: id=27055抓取user时发生错误2016-05-10 23:26:42 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1135191
ERROR:root: id=15069抓取user时发生错误2016-05-10 23:26:43 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/695921
ERROR:root: id=8159抓取user时发生错误2016-05-10 23:26:43 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/429622
ERROR:root: id=5170抓取user时发生错误2016-05-10 23:26:43 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/311131
ERROR:root: id=2165抓取user时发生错误2016-05-10 23:26:43 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/190092
ERROR:root: id=38039抓取user时发生错误2016-05-10 23:26:44 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1585532
ERROR:root: id=24061抓取user时发生错误2016-05-10 23:26:44 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1040796
ERROR:root: id=35035抓取user时发生错误2016-05-10 23:26:44 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1444651
ERROR:root: id=19057抓取user时发生错误2016-05-10 23:26:44 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/853358
ERROR:root: id=29045抓取user时发生错误2016-05-10 23:26:45 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1206490
ERROR:root: id=28062抓取user时发生错误2016-05-10 23:26:45 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1170839
ERROR:root: id=16063抓取user时发生错误2016-05-10 23:26:45 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/738625
ERROR:root: id=146抓取user时发生错误2016-05-10 23:26:45 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/110956
ERROR:root: id=7163抓取user时发生错误2016-05-10 23:26:45 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/385592
ERROR:root: id=9154抓取user时发生错误2016-05-10 23:26:45 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473366
ERROR:root: id=12154抓取user时发生错误2016-05-10 23:26:45 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/578478
ERROR:root: id=22058抓取user时发生错误2016-05-10 23:26:46 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/970829
ERROR:root: id=23062抓取user时发生错误2016-05-10 23:26:46 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1008841
ERROR:root: id=27056抓取user时发生错误2016-05-10 23:26:46 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1135295
ERROR:root: id=1155抓取user时发生错误2016-05-10 23:26:46 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/151938
ERROR:root: id=32040抓取user时发生错误2016-05-10 23:26:46 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1316511
ERROR:root: id=6151抓取user时发生错误2016-05-10 23:26:47 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/346383
